,ltla_code,X,utla_code,utla_name,ltla_name,total_first_dose,total_second_dose,population,median_age,White_British,Other_White,Mixed,Asian,Black,Other,mean_imd_score
184,E07000166,180,E10000023,North Yorkshire,Richmondshire,33009,23546,53730,43,98.14814815,0,0,1.851851852,0,0,12.135
185,E07000167,181,E10000023,North Yorkshire,Ryedale,39026,31499,55380,49.8,100,0,0,0,0,0,15.665
186,E07000168,182,E10000023,North Yorkshire,Scarborough,78413,64229,108757,49.3,95.41284404,2.752293578,0.917431193,0.917431193,0,0,26.28
187,E07000169,183,E10000023,North Yorkshire,Selby,62825,45551,90620,44.5,96.51162791,2.325581395,0,1.162790698,0,0,12.73
188,E07000170,184,E10000024,Nottinghamshire,Ashfield,80734,64462,127918,42.1,99.19354839,0.806451613,0,0,0,0,26.308
189,E07000171,185,E10000024,Nottinghamshire,Bassetlaw,79639,64194,117459,45.3,94.73684211,3.50877193,0,1.754385965,0,0,22.588
190,E07000172,186,E10000024,Nottinghamshire,Broxtowe,73687,56820,114033,43.2,90.99099099,2.702702703,0.900900901,4.504504505,0.900900901,0,14.238
191,E07000173,187,E10000024,Nottinghamshire,Gedling,77683,61898,117896,43.9,87.06896552,4.310344828,0.862068966,3.448275862,3.448275862,0.862068966,14.894
192,E07000174,188,E10000024,Nottinghamshire,Mansfield,70001,55844,109313,41.9,91.66666667,4.62962963,0,1.851851852,0.925925926,0.925925926,28.503
193,E07000175,189,E10000024,Nottinghamshire,Newark and Sherwood,81238,64699,122421,44.9,89.83050847,6.779661017,0.847457627,1.694915254,0.847457627,0,19.227
194,E07000176,190,E10000024,Nottinghamshire,Rushcliffe,79884,62782,119184,44,93.85964912,2.631578947,0,3.50877193,0,0,7.18
195,E07000177,191,E10000025,Oxfordshire,Cherwell,99770,70768,150503,41,85.03401361,7.482993197,1.360544218,3.401360544,2.721088435,0,14.41
196,E07000178,192,E10000025,Oxfordshire,Oxford,84690,56493,152457,29.7,64.51612903,12.90322581,3.225806452,11.61290323,3.225806452,4.516129032,16.707
